,Age,Senior Citizen,Married,Tenure in Months,Monthly Charge,Contract,Satisfaction Score,Streaming TV,Streaming Movies,Streaming Music,Internet Type,Under 30,CLTV,Churn
3865,43,0,0,12,76.6,Month-to-Month,3,0,0,0,Fiber Optic,0,3280,0
3324,57,0,1,3,80.7,Month-to-Month,4,1,0,0,Fiber Optic,0,2081,0
1126,42,0,0,69,90.65,Two Year,3,1,1,1,DSL,0,6487,0
2785,76,1,0,52,108.1,Two Year,4,1,1,0,Fiber Optic,0,4251,0
1210,43,0,1,46,80.0,Month-to-Month,5,0,0,0,Fiber Optic,0,3315,0
1023,35,0,1,60,65.85,One Year,3,0,0,0,DSL,0,4053,0
3297,52,0,0,2,20.35,Month-to-Month,3,0,0,0,No Type,0,5994,0
2292,30,0,1,8,20.15,Two Year,4,0,0,0,No Type,0,3899,0
2945,59,0,1,35,46.35,Two Year,4,1,0,0,DSL,0,4577,0
1404,50,0,1,70,80.7,Two Year,4,1,0,0,Cable,0,4412,0
1038,32,0,0,48,19.95,One Year,3,0,0,0,No Type,0,3396,0
3807,33,0,1,19,19.8,One Year,5,0,0,0,No Type,0,4464,0
1454,72,1,1,26,105.75,Month-to-Month,1,1,1,1,Fiber Optic,0,3157,1
559,43,0,0,1,45.15,Month-to-Month,3,0,0,0,DSL,0,4131,0
2591,57,0,1,68,78.45,One Year,5,0,1,1,DSL,0,5071,0
1327,29,0,1,72,20.3,Two Year,3,0,0,0,No Type,1,5265,0
776,43,0,0,4,70.2,Month-to-Month,1,0,0,0,Fiber Optic,0,5094,1
825,58,0,1,67,111.3,One Year,3,1,1,1,Fiber Optic,0,4146,1
2453,28,0,0,29,20.35,One Year,4,0,0,0,No Type,1,4840,0
2484,41,0,1,48,70.55,One Year,4,0,1,1,Cable,0,3997,0
3159,57,0,1,2,20.3,One Year,3,0,0,0,No Type,0,2843,0
1486,20,0,0,3,35.2,Month-to-Month,1,1,0,0,DSL,1,5450,1
1378,38,0,0,9,45.15,Month-to-Month,1,0,0,0,DSL,0,3757,1
250,22,0,1,10,25.35,Two Year,4,0,0,0,No Type,1,2299,0
542,62,0,0,16,19.05,One Year,5,0,0,0,No Type,0,4336,0
2405,42,0,0,11,64.9,Month-to-Month,5,1,1,1,Cable,0,2775,0
2107,34,0,0,1,49.9,Month-to-Month,2,0,0,0,DSL,0,3113,1
4030,43,0,1,59,81.25,One Year,3,0,0,0,Fiber Optic,0,4709,0
1674,49,0,1,58,94.3,One Year,3,0,1,1,Fiber Optic,0,6166,0
298,62,0,0,5,96.25,Month-to-Month,2,1,1,1,Fiber Optic,0,5056,1
2144,26,0,0,18,90.7,Month-to-Month,1,0,1,1,Fiber Optic,1,2931,1
384,56,0,0,5,46.0,Month-to-Month,1,0,0,0,DSL,0,4846,1
2034,56,0,1,4,38.55,Month-to-Month,4,1,0,0,DSL,0,3824,0
3506,45,0,1,2,20.0,Month-to-Month,4,0,0,0,No Type,0,4823,0
3655,71,1,0,5,69.05,Month-to-Month,3,0,0,0,Fiber Optic,0,3368,1
574,66,1,1,24,79.85,Two Year,3,0,0,0,Fiber Optic,0,3412,0
4008,19,0,1,69,105.1,One Year,3,1,0,0,Fiber Optic,1,4686,0
2900,80,1,0,36,74.9,Two Year,3,0,0,0,Fiber Optic,0,5041,0
3007,27,0,0,4,79.9,Month-to-Month,1,0,1,1,Fiber Optic,1,4669,1
102,32,0,0,47,103.7,One Year,4,1,1,1,Fiber Optic,0,4543,0
1657,52,0,0,12,89.15,Month-to-Month,5,0,1,1,Fiber Optic,0,4041,0
1188,62,0,0,1,19.95,Month-to-Month,2,0,0,0,No Type,0,2051,1
1634,64,0,0,1,24.2,Month-to-Month,5,0,0,0,Cable,0,4276,0
4055,78,1,1,8,64.4,Two Year,5,0,1,1,Cable,0,4537,0
1748,73,1,1,71,52.3,Month-to-Month,5,1,1,1,Cable,0,5491,0
1944,46,0,1,50,54.9,One Year,4,0,0,0,DSL,0,4322,0
3341,52,0,1,21,102.8,Month-to-Month,1,1,1,1,Fiber Optic,0,3123,1
3773,35,0,1,65,100.15,One Year,4,1,0,0,Fiber Optic,0,4915,0
3554,47,0,0,13,49.15,Month-to-Month,3,1,1,1,DSL,0,3000,0
1422,54,0,0,13,100.35,Month-to-Month,1,1,1,1,Fiber Optic,0,2008,1
4128,20,0,0,11,35.65,Month-to-Month,4,0,0,0,DSL,1,4986,0
1999,51,0,0,6,50.8,Month-to-Month,2,0,0,0,DSL,0,4713,1
144,31,0,1,55,19.15,One Year,3,0,0,0,No Type,0,5390,0
1723,41,0,0,44,68.85,Month-to-Month,3,0,0,0,Fiber Optic,0,2053,0
954,37,0,1,55,85.1,Two Year,3,1,1,1,DSL,0,5661,0
2432,41,0,0,43,40.45,Month-to-Month,3,0,0,0,DSL,0,3176,0
881,52,0,0,10,40.25,One Year,3,0,0,0,DSL,0,2876,0
1431,80,1,0,2,19.2,Two Year,5,0,0,0,No Type,0,4577,0
3606,74,1,1,38,95.0,One Year,4,0,1,1,Fiber Optic,0,5148,0
4180,41,0,1,66,102.45,One Year,1,1,1,1,Fiber Optic,0,4688,1
2637,47,0,0,4,19.95,One Year,4,0,0,0,No Type,0,2195,0
1705,75,1,0,1,69.5,Month-to-Month,2,0,0,0,Fiber Optic,0,3273,1
2283,35,0,1,3,20.85,Month-to-Month,3,0,0,0,No Type,0,5867,0
3033,79,1,0,13,82.0,Month-to-Month,2,0,1,0,Fiber Optic,0,3363,1
1233,68,1,0,13,90.5,Month-to-Month,1,1,1,1,Fiber Optic,0,5394,1
3264,31,0,1,64,86.8,Month-to-Month,3,0,0,0,Fiber Optic,0,4915,0
808,44,0,1,12,19.7,Two Year,4,0,0,0,No Type,0,5104,0
1953,57,0,0,1,20.05,Month-to-Month,2,0,0,0,No Type,0,4710,1
1442,42,0,0,12,20.05,One Year,3,0,0,0,No Type,0,4018,0
3288,64,0,0,1,79.15,Month-to-Month,1,0,0,0,Fiber Optic,0,4243,1
2348,27,0,0,28,20.25,Month-to-Month,5,0,0,0,No Type,1,4476,0
1373,65,1,1,36,54.1,One Year,3,0,0,0,DSL,0,4017,0
3661,22,0,0,16,20.0,Month-to-Month,3,0,0,0,No Type,1,3705,0
482,40,0,0,1,25.25,Month-to-Month,5,0,0,0,DSL,0,4831,0
3930,55,0,0,25,20.8,Month-to-Month,5,0,0,0,No Type,0,3274,0
2014,54,0,0,1,44.3,Month-to-Month,5,0,0,0,DSL,0,4427,0
3984,38,0,1,5,55.7,Month-to-Month,3,0,0,0,Cable,0,3598,0
4068,55,0,1,71,105.55,Two Year,3,1,1,1,Fiber Optic,0,5010,0
1263,70,1,0,10,84.6,Month-to-Month,3,0,1,1,Fiber Optic,0,3320,1
1788,75,1,1,72,115.75,Two Year,3,1,1,0,Fiber Optic,0,6205,0
422,48,0,1,43,86.1,Month-to-Month,3,0,0,0,Fiber Optic,0,2358,0
2769,57,0,0,1,19.5,Month-to-Month,4,0,0,0,No Type,0,5279,0
1870,52,0,1,65,90.65,Month-to-Month,5,0,1,1,Fiber Optic,0,6358,0
2808,43,0,1,72,113.1,Two Year,3,1,1,1,Fiber Optic,0,5308,0
4121,73,1,0,2,54.85,Month-to-Month,1,0,0,0,DSL,0,3016,1
244,38,0,1,72,104.9,Two Year,4,0,1,1,Fiber Optic,0,6378,0
779,39,0,0,33,107.55,Month-to-Month,3,1,1,1,Fiber Optic,0,4800,0
2297,24,0,1,47,19.3,Two Year,4,0,0,0,No Type,1,5829,0
3308,57,0,1,1,19.2,Month-to-Month,5,0,0,0,No Type,0,3007,0
2599,35,0,0,8,84.95,Month-to-Month,1,1,0,0,Fiber Optic,0,4437,1
2134,59,0,1,18,20.1,Two Year,4,0,0,0,No Type,0,4329,0
1688,62,0,1,72,82.15,Two Year,5,1,1,1,DSL,0,4552,0
3243,49,0,0,2,42.6,Month-to-Month,2,0,1,1,DSL,0,4648,1
2892,47,0,0,1,24.7,Month-to-Month,4,0,0,0,Cable,0,3518,0
1436,19,0,1,71,24.4,Two Year,5,0,0,0,No Type,1,4412,0
3659,50,0,0,3,20.85,Month-to-Month,4,0,0,0,No Type,0,5868,0
2460,47,0,1,1,69.4,Month-to-Month,1,0,0,0,Fiber Optic,0,2404,1
308,26,0,1,60,80.6,Two Year,5,1,1,1,Cable,1,5667,0
1250,29,0,0,1,69.95,Month-to-Month,3,0,0,0,Fiber Optic,1,5341,1
1144,25,0,1,38,94.65,Month-to-Month,2,1,0,0,Fiber Optic,1,3498,1
4171,58,0,0,51,24.6,One Year,5,0,0,0,No Type,0,4886,0
523,32,0,1,40,74.55,Month-to-Month,5,1,1,1,DSL,0,3718,0
1470,60,0,1,21,94.3,Month-to-Month,3,1,1,1,Fiber Optic,0,2058,0
2330,19,0,1,12,35.5,Month-to-Month,4,0,0,0,DSL,1,2562,0
678,71,1,1,36,84.1,Month-to-Month,1,0,1,0,Fiber Optic,0,2987,1
1840,34,0,0,2,40.4,Month-to-Month,3,0,0,0,DSL,0,3620,1
2642,37,0,1,36,35.35,One Year,4,0,0,0,Cable,0,3314,0
1551,34,0,0,64,84.3,One Year,3,0,0,0,Fiber Optic,0,5044,0
989,32,0,0,29,66.1,Month-to-Month,3,0,1,1,Cable,0,5590,0
4097,28,0,0,21,73.7,Month-to-Month,5,0,0,1,Fiber Optic,1,2071,0
845,60,0,0,60,20.6,Two Year,3,0,0,0,No Type,0,4192,0
3668,70,1,1,12,29.3,Month-to-Month,4,0,0,0,DSL,0,3353,0
233,48,0,1,36,25.1,Two Year,3,0,0,0,No Type,0,3040,0
2907,56,0,1,49,95.4,Month-to-Month,5,1,1,1,Fiber Optic,0,6136,0
4047,50,0,0,1,50.9,Month-to-Month,1,0,0,0,DSL,0,5111,1
4062,61,0,1,52,25.75,Two Year,3,0,0,0,No Type,0,4676,0
2001,51,0,0,4,55.9,Month-to-Month,3,0,1,1,DSL,0,3545,0
1475,25,0,1,72,89.7,Two Year,3,1,1,1,Cable,1,4193,0
1605,71,1,0,59,79.2,Two Year,5,0,0,0,Fiber Optic,0,5400,0
2799,28,0,0,48,95.4,Month-to-Month,3,0,1,1,Fiber Optic,1,4334,0
1891,45,0,0,9,40.75,Month-to-Month,4,0,1,1,DSL,0,2973,0
4133,44,0,1,12,85.05,Month-to-Month,3,0,1,1,Fiber Optic,0,2540,0
3163,34,0,1,10,54.95,Month-to-Month,3,0,0,0,DSL,0,3519,0
3716,20,0,1,48,55.8,One Year,4,0,0,1,DSL,1,3446,0
1459,27,0,1,28,54.35,One Year,5,0,0,0,DSL,1,5105,0
3393,60,0,1,39,59.8,One Year,3,0,0,0,DSL,0,3093,0
4019,19,0,1,49,35.8,One Year,4,0,0,0,Cable,1,4865,0
2240,56,0,0,13,19.75,Two Year,5,0,0,0,No Type,0,2016,0
462,44,0,1,11,90.6,Month-to-Month,5,1,1,1,Fiber Optic,0,2004,0
1196,24,0,1,55,59.45,One Year,4,0,1,1,DSL,1,5712,0
2773,59,0,1,15,30.2,Month-to-Month,4,0,0,0,Cable,0,5825,0
2289,69,1,0,51,79.6,One Year,5,0,0,0,Fiber Optic,0,4673,0
173,39,0,1,36,97.35,Month-to-Month,2,1,0,0,Fiber Optic,0,4544,1
1932,31,0,0,4,100.85,Month-to-Month,4,1,1,1,Fiber Optic,0,5354,0
2254,27,0,1,61,81.0,Two Year,4,1,1,1,DSL,1,4151,0
3372,36,0,0,27,19.15,One Year,5,0,0,0,No Type,0,5606,0
3982,47,0,1,69,84.45,One Year,3,0,0,0,Fiber Optic,0,5629,0
2489,54,0,0,47,41.9,Two Year,3,0,0,0,Cable,0,2540,0
3911,71,1,1,7,89.0,Two Year,4,1,1,1,Fiber Optic,0,5711,0
2739,65,1,0,40,79.2,Month-to-Month,1,0,0,0,Fiber Optic,0,3207,1
768,24,0,0,60,61.4,Two Year,3,0,0,0,DSL,1,6209,0
238,64,0,1,14,90.9,Month-to-Month,2,0,1,1,Fiber Optic,0,5148,1
1871,63,0,0,26,105.45,Two Year,5,1,1,1,Fiber Optic,0,5980,0
2959,48,0,1,1,80.0,Month-to-Month,1,0,1,1,Cable,0,2046,1
227,60,0,0,35,89.2,One Year,4,0,1,1,Fiber Optic,0,4446,0
3840,41,0,1,50,103.05,One Year,4,1,1,1,Fiber Optic,0,5905,0
1072,63,0,1,33,86.15,Month-to-Month,2,0,1,1,Fiber Optic,0,3336,1
35,35,0,1,72,80.45,Two Year,3,1,1,1,DSL,0,4480,0
3790,33,0,1,70,85.95,Two Year,5,1,1,1,Cable,0,6354,0
1706,63,0,1,72,108.65,Two Year,4,1,1,1,Fiber Optic,0,5730,0
3713,59,0,1,43,91.25,One Year,3,0,0,0,Fiber Optic,0,5884,0
